Gene	proba_m1	proba_m2	bayes_factor	scale1	scale2	raw_mean1	raw_mean2	non_zeros_proportion1	non_zeros_proportion2	raw_normalized_mean1	raw_normalized_mean2	comparison	group1	group2
AC125613.1	0.3282	0.6718	-0.7163374829383589	4.2856438e-05	0.00025503713	0.04048381	0.291262	0.034768527338540835	0.1520235026641554	0.19734238	2.385223	2 vs Rest	2	Rest
AC020637.1	0.3282	0.6718	-0.7163374829383589	1.3389408e-05	3.0481115e-05	0.008096775	0.024167916	0.007715755381977509	0.016401341672786156	0.036504652	0.11514057	2 vs Rest	2	Rest
SH3TC2-DT	0.3278	0.6722	-0.7181522333513949	3.2776452e-06	1.6189326e-05	0.0007620499	0.0040324824	0.0006667936749857117	0.0031483465333102963	0.0049354564	0.028403407	2 vs Rest	2	Rest
RAD51AP1	0.3272	0.6728000000000001	-0.7208764882310577	3.9191953e-05	0.00023256586	0.059344463	0.39594826	0.04562773861687935	0.1940466778627719	0.2632649	2.2246826	2 vs Rest	2	Rest
CCL5	0.327	0.673	-0.7217851430252762	3.8575877e-06	1.0575544e-05	0.002571918	0.0049353563	0.0024766622213754997	0.002147237828810433	0.012189715	0.021294666	2 vs Rest	2	Rest
EFCAB8	0.3262	0.6738	-0.7254226249706994	9.509601e-06	2.9780353e-05	0.006382165	0.0050289105	0.005334349399885687	0.0036114762610929435	0.02644303	0.034537982	2 vs Rest	2	Rest
ZFP36L1	0.326	0.6739999999999999	-0.7263327137075484	0.000104885854	0.0012686661	0.13916935	1.7461413	0.10811583158697095	0.42631325346342946	0.62104005	12.614107	2 vs Rest	2	Rest
MYOF	0.3256	0.6744	-0.7281537566747256	1.0827853e-05	2.4629828e-05	0.010001906	0.027881406	0.009525623928367295	0.012906817363153815	0.04392682	0.10070139	2 vs Rest	2	Rest
CXCR4	0.3254	0.6746	-0.7290647119348044	4.1093488e-05	0.00022349729	0.041055333	0.26573074	0.03543532101352653	0.16116914526832943	0.17060412	2.0409265	2 vs Rest	2	Rest
TYMS	0.3252	0.6748000000000001	-0.7299759570670565	0.000109201326	0.00060016854	0.20394488	0.97863597	0.12983425414364885	0.31450718786698134	0.9326241	5.715151	2 vs Rest	2	Rest
LAMA3	0.325	0.675	-0.7308874925883768	4.1812946e-05	0.0001247436	0.028862609	0.18277973	0.023528291103067353	0.09535794314265571	0.1250527	0.8819725	2 vs Rest	2	Rest
NCALD	0.325	0.675	-0.7308874925883768	0.00025921979	0.00052617013	0.34044707	0.8314921	0.15069537054677132	0.33028634515806166	1.2988143	4.79166	2 vs Rest	2	Rest
